content,bank,nouns,keywords,vader_compound,tb_polarity,tb_subjectivity,sentiment,bank_id
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
Thank you,CBE Bank,['thank'],['thank'],0.3612,0.0,0.0,positive,
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
It charges high amount of service charge.,CBE Bank,"['amount', 'service', 'charge']","['charges', 'high', 'amount', 'service', 'charge']",-0.2732,0.16,0.54,negative,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
excellent,CBE Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive,
easygoing & Convenient to use.,CBE Bank,['convenient'],"['easygoing', 'convenient', 'use']",0.3182,0.0,0.0,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,CBE Bank,"['transactions', 'transactions', 'month', 'transactions', 'date', 'range']","['saved', 'transactions', 'doesn', 'work', 'properly', 'doesn', 'show', 'transactions', 'before', 'month', 'only', 'shows', 'recent', 'transactions', 'even', 'after', 'set', 'filter', 'date', 'range']",0.4215,0.0,0.45,positive,
Pleas allow self service on Mobile banking.,CBE Bank,"['pleas', 'service', 'mobile', 'banking']","['pleas', 'allow', 'self', 'service', 'mobile', 'banking']",0.2263,0.0,0.0,positive,
i use CBE almost more than 5 years,CBE Bank,"['use', 'cbe', 'years']","['use', 'cbe', 'almost', 'more', 'than', 'years']",0.0,0.5,0.5,neutral,
this app essential app on this time,CBE Bank,['time'],"['essential', 'time']",0.0,0.0,0.3,neutral,
"After update not working at all, I live in abroad.",CBE Bank,[],"['after', 'update', 'not', 'working', 'all', 'live', 'abroad']",0.0,0.13636363636363635,0.5,neutral,
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,CBE Bank,[],"['not', 'well', 'functional', 'always', 'sluggish', 'poor', 'not', 'interested', 'because', 'always', 'straggling']",-0.8348,-0.2625,0.55,negative,
best bank ever,CBE Bank,['bank'],"['best', 'bank', 'ever']",0.6369,1.0,0.3,positive,
best app,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
does this app support international transactions,CBE Bank,"['support', 'transactions']","['does', 'support', 'international', 'transactions']",0.4019,0.0,0.0,positive,
Why mobile Banking is not functional?,CBE Bank,['banking'],"['why', 'mobile', 'banking', 'not', 'functional']",0.0,0.0,0.0,neutral,
"very nice app, but charge more.",CBE Bank,['charge'],"['nice', 'charge', 'more']",0.2609,0.64,0.75,positive,
not working,CBE Bank,[],"['not', 'working']",0.0,0.0,0.0,neutral,
I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,CBE Bank,"['months', 'mobile', 'data', 'wifi', 'cause', 'android']","['can', 'use', 'months', 'ago', 'stopped', 'working', 'with', 'mobile', 'data', 'wifi', 'didn', 'know', 'cause', 'why', 'not', 'compatible', 'with', 'android']",-0.2263,0.0,0.0,negative,
very excellent application the number one bank of Ethiopia thanks,CBE Bank,"['number', 'bank', 'ethiopia', 'thanks']","['excellent', 'number', 'one', 'bank', 'ethiopia', 'thanks']",0.8016,0.6,0.6,positive,
Good app,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
not working,CBE Bank,[],"['not', 'working']",0.0,0.0,0.0,neutral,
it's fast and easy nice,CBE Bank,[],"['fast', 'easy', 'nice']",0.6908,0.41111111111111115,0.8111111111111112,positive,
Good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
"this platform is very useful for exchanging payment ,than *889#(it's slower ).🙏🙏",CBE Bank,"['platform', 'payment', '.🙏🙏']","['platform', 'useful', 'for', 'exchanging', 'payment', 'than', '889', 'slower']",0.4927,0.39,0.0,positive,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
girms,CBE Bank,['girms'],['girms'],0.0,0.0,0.0,neutral,
good update,CBE Bank,['update'],"['good', 'update']",0.4404,0.7,0.6000000000000001,positive,
It's a good improvement. the app,CBE Bank,['improvement'],"['good', 'improvement']",0.7096,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
"This app is very unreliable—slow, frequently crashes, and fails to sync properly. Transactions don’t reflect accurately; I transferred money that was deducted but never received, with no record in recent activity. It often stops working and takes too long to update. Reinstalling doesn’t help. You even have to visit a branch for it to start working, which is unacceptable today. The problem is even worse outside Ethiopia.",CBE Bank,"['slow', 'crashes', 'transactions', 'money', 'record', 'activity', 'help', 'branch', 'working', 'today', 'problem', 'ethiopia']","['unreliable', 'slow', 'frequently', 'crashes', 'fails', 'sync', 'properly', 'transactions', 'don', 'reflect', 'accurately', 'transferred', 'money', 'deducted', 'never', 'received', 'with', 'record', 'recent', 'activity', 'often', 'stops', 'working', 'takes', 'too', 'long', 'update', 'reinstalling', 'doesn', 'help', 'even', 'have', 'visit', 'branch', 'for', 'start', 'working', 'which', 'unacceptable', 'today', 'problem', 'even', 'worse', 'outside', 'ethiopia']",-0.8631,-0.027777777777777766,0.3259259259259259,negative,
Excellent,CBE Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive,
so nice to me,CBE Bank,[],['nice'],0.4754,0.6,1.0,positive,
bad👎,CBE Bank,['bad👎'],['bad'],0.0,0.0,0.0,neutral,
very much for your information 👋,CBE Bank,['information'],"['much', 'for', 'your', 'information']",0.0,0.26,0.26,neutral,
nice app keep it up🤝🤝,CBE Bank,[],"['nice', 'keep']",0.4215,0.6,1.0,positive,
i like this app,CBE Bank,[],['like'],0.3612,0.0,0.0,positive,
i have more experience,CBE Bank,['experience'],"['have', 'more', 'experience']",0.0,0.5,0.5,neutral,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
I love this app,CBE Bank,[],['love'],0.6369,0.5,0.6,positive,
WOW!,CBE Bank,['wow'],['wow'],0.6239,0.125,1.0,positive,
the app freezes sometimes and crashing,CBE Bank,[],"['freezes', 'sometimes', 'crashing']",-0.0258,0.0,0.0,neutral,
for active payment it's number one chose,CBE Bank,"['payment', 'number', 'chose']","['for', 'active', 'payment', 'number', 'one', 'chose']",0.4588,-0.13333333333333333,0.6,positive,
"What a nasty Update is this !. May I say 'Events cast their shadow before happenings'. Trust, value, Bank's 'n' Customers' financial property, such like things, at risk once again(the State owned Bank experienced some months ago due to app development issues or some other unknown reasons. Unable to see my own current balance due to a hidden page being displayed, stacked transaction history since March 26th, among others. Is that a Banking app being developed by Professionals ?.",CBE Bank,"['update', 'may', ""'events"", 'shadow', 'happenings', 'trust', 'value', 'bank', 'customers', 'property', 'things', 'risk', 'state', 'bank', 'months', 'development', 'issues', 'reasons', 'balance', 'page', 'transaction', 'history', 'march', 'others', 'banking', 'professionals']","['what', 'nasty', 'update', 'may', 'say', 'events', 'cast', 'their', 'shadow', 'before', 'happenings', 'trust', 'value', 'bank', 'customers', 'financial', 'property', 'such', 'like', 'things', 'risk', 'once', 'again', 'state', 'owned', 'bank', 'experienced', 'some', 'months', 'ago', 'due', 'development', 'issues', 'some', 'other', 'unknown', 'reasons', 'unable', 'see', 'own', 'current', 'balance', 'due', 'hidden', 'page', 'being', 'displayed', 'stacked', 'transaction', 'history', 'since', 'march', '26th', 'among', 'others', 'banking', 'being', 'developed', 'professionals']",0.4199,-0.04935897435897434,0.5121794871794871,positive,
Very good Service provider bank,CBE Bank,"['service', 'provider', 'bank']","['good', 'service', 'provider', 'bank']",0.4927,0.9099999999999999,0.7800000000000001,positive,
it is not working,CBE Bank,[],"['not', 'working']",0.0,0.0,0.0,neutral,
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
Thank you for your service.,CBE Bank,"['thank', 'service']","['thank', 'for', 'your', 'service']",0.3612,0.0,0.0,positive,
good 👍,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
wow,CBE Bank,['wow'],['wow'],0.5859,0.1,1.0,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
fully functional greate application it makes payment and transaction easier,CBE Bank,"['greate', 'payment', 'transaction']","['fully', 'functional', 'greate', 'makes', 'payment', 'transaction', 'easier']",0.4215,0.0,0.0,positive,
it's best for everyone,CBE Bank,['everyone'],"['best', 'for', 'everyone']",0.6369,1.0,0.3,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
am happy using it.But why does it need continuous updates?,CBE Bank,['updates'],"['happy', 'using', 'why', 'does', 'need', 'continuous', 'updates']",0.5719,0.8,1.0,positive,
Good job,CBE Bank,['job'],"['good', 'job']",0.4404,0.7,0.6000000000000001,positive,
good jobs,CBE Bank,['jobs'],"['good', 'jobs']",0.4404,0.7,0.6000000000000001,positive,
it is wel,CBE Bank,[],['wel'],0.0,0.0,0.0,neutral,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
swift,CBE Bank,['swift'],['swift'],0.2023,0.0,0.0,positive,
Good bank,CBE Bank,['bank'],"['good', 'bank']",0.4404,0.7,0.6000000000000001,positive,
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
👍👍,CBE Bank,[],[],0.0,0.0,0.0,neutral,
difficult to see our transactions after aweek,CBE Bank,"['transactions', 'aweek']","['difficult', 'see', 'our', 'transactions', 'after', 'aweek']",-0.3612,-0.5,1.0,negative,
Easy to use and reliable.,CBE Bank,['easy'],"['easy', 'use', 'reliable']",0.4404,0.43333333333333335,0.8333333333333334,positive,
its good,CBE Bank,[],"['its', 'good']",0.4404,0.7,0.6000000000000001,positive,
easy and fast,CBE Bank,[],"['easy', 'fast']",0.4404,0.31666666666666665,0.7166666666666667,positive,
በጣም ጥሩ ነው,CBE Bank,[],[],0.0,0.0,0.0,neutral,
this app is very good,CBE Bank,[],['good'],0.4927,0.9099999999999999,0.7800000000000001,positive,
very nice,CBE Bank,[],['nice'],0.4754,0.78,1.0,positive,
deduction but no transaction. not good,CBE Bank,"['deduction', 'transaction']","['deduction', 'transaction', 'not', 'good']",-0.7104,-0.35,0.6000000000000001,negative,
good app,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
Musxafaa,CBE Bank,['musxafaa'],['musxafaa'],0.0,0.0,0.0,neutral,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
Good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
great 👍,CBE Bank,[],['great'],0.6249,0.8,0.75,positive,
I had good time with CBE,CBE Bank,"['time', 'cbe']","['had', 'good', 'time', 'with', 'cbe']",0.4404,0.7,0.6000000000000001,positive,
crashes every time you need to update this app ASAP.. i will be changing bank if tjis continues,CBE Bank,"['crashes', 'time', 'asap', 'bank']","['crashes', 'every', 'time', 'need', 'update', 'asap', 'will', 'changing', 'bank', 'tjis', 'continues']",0.0,0.0,0.0,neutral,
well expriences,CBE Bank,['expriences'],"['well', 'expriences']",0.2732,0.0,0.0,positive,
itii fayadamaa namaa fayadaa kuniin,CBE Bank,"['itii', 'fayadamaa', 'fayadaa', 'kuniin']","['itii', 'fayadamaa', 'namaa', 'fayadaa', 'kuniin']",0.0,0.0,0.0,neutral,
crush alot,CBE Bank,"['crush', 'alot']","['crush', 'alot']",-0.1531,0.0,0.0,negative,
Best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
Not that happy at this app,CBE Bank,[],"['not', 'happy']",-0.4585,0.8,1.0,negative,
100%100 Fast and Amazing app !! 🏆🏆🏆🏆🏆🏆🏆🏆 💞🌷🇪🇹,CBE Bank,"['fast', 'amazing', '💞🌷🇪🇹']","['100', '100', 'fast', 'amazing']",0.658,0.5687500000000001,0.75,positive,
lulit tukka giro,CBE Bank,"['tukka', 'giro']","['lulit', 'tukka', 'giro']",0.0,0.0,0.0,neutral,
Enough good even it hasn't transferring for other telebirr users,CBE Bank,"['telebirr', 'users']","['enough', 'good', 'even', 'hasn', 'transferring', 'for', 'other', 'telebirr', 'users']",0.4404,0.19166666666666665,0.4916666666666667,positive,
not good not bad.,CBE Bank,[],"['not', 'good', 'not', 'bad']",-0.5824,-2.7755575615628914e-17,0.6333333333333333,negative,
"my favorite so far, but, how come we are not able to download the app and fix our problem ourselves? it is not fair to go to the bank and fix it for you? please think about it. Thank you",CBE Bank,"['favorite', 'problem', 'bank', 'thank']","['favorite', 'far', 'how', 'come', 'not', 'able', 'download', 'fix', 'our', 'problem', 'ourselves', 'not', 'fair', 'bank', 'fix', 'for', 'please', 'think', 'about', 'thank']",0.3751,0.0,0.88125,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
bad strresing,CBE Bank,['strresing'],"['bad', 'strresing']",-0.5423,-0.6999999999999998,0.6666666666666666,negative,
easy fast helpful for our business,CBE Bank,"['helpful', 'business']","['easy', 'fast', 'helpful', 'for', 'our', 'business']",0.6908,0.31666666666666665,0.7166666666666667,positive,
cool,CBE Bank,['cool'],['cool'],0.3182,0.35,0.65,positive,
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team.",CBE Bank,"['performance', 'week', 'access', 'balance', 'funds', 'situation', 'concern', 'inconvenience', 'access', 'money', 'manner', 'payments', 'loss', 'confidence', 'trust', 'furthermore', 'response', 'message', 'customer', 'support', 'team']","['not', 'great', 'its', 'performance', 'has', 'unfortunately', 'declined', 'further', 'for', 'past', 'week', 'have', 'been', 'unable', 'access', 'balance', 'transfer', 'funds', 'situation', 'causing', 'considerable', 'concern', 'inconvenience', 'cannot', 'access', 'money', 'timely', 'manner', 'has', 'resulted', 'late', 'payments', 'loss', 'confidence', 'trust', 'furthermore', 'have', 'not', 'received', 'response', 'message', 'customer', 'support', 'team']",-0.05,-0.09285714285714285,0.5785714285714285,negative,
I can't download this app please assist how it can be downloaded,CBE Bank,['please'],"['can', 'download', 'please', 'assist', 'how', 'can', 'downloaded']",0.3182,0.0,0.0,positive,
🤙,CBE Bank,[],[],0.0,0.0,0.0,neutral,
accessibility need to be taken seriously. There are people excluded because of inaccessible apps.,CBE Bank,"['accessibility', 'need', 'people', 'apps']","['accessibility', 'need', 'taken', 'seriously', 'there', 'people', 'excluded', 'because', 'inaccessible', 'apps']",-0.4767,-0.3333333333333333,0.6666666666666666,negative,
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
it's has an issue,CBE Bank,['issue'],"['has', 'issue']",0.0,0.0,0.0,neutral,
I customer for commercial bank of Ethiopia I trade,CBE Bank,"['customer', 'bank', 'ethiopia']","['customer', 'for', 'commercial', 'bank', 'ethiopia', 'trade']",0.0,0.0,0.0,neutral,
sestemaa siresun osoo manaa banki hindemne namnii barbade national id isa fayadamee osoo banachun danda'ame bayye nammati tola live event qabate,CBE Bank,"['sestemaa', 'siresun', 'osoo', 'manaa', 'banki', 'hindemne', 'isa', 'fayadamee', 'osoo', 'banachun', ""danda'ame"", 'bayye', 'tola', 'event', 'qabate']","['sestemaa', 'siresun', 'osoo', 'manaa', 'banki', 'hindemne', 'namnii', 'barbade', 'national', 'isa', 'fayadamee', 'osoo', 'banachun', 'danda', 'ame', 'bayye', 'nammati', 'tola', 'live', 'event', 'qabate']",0.0,0.13636363636363635,0.5,neutral,
pls speedup for quick uses,CBE Bank,"['pls', 'speedup', 'uses']","['pls', 'speedup', 'for', 'quick', 'uses']",0.0772,0.3333333333333333,0.5,positive,
Pls facilitate transfer to telebirr agent,CBE Bank,"['pls', 'facilitate', 'transfer', 'agent']","['pls', 'facilitate', 'transfer', 'telebirr', 'agent']",0.0772,0.0,0.0,positive,
"before, it was nice. now it does not work and crash automatically",CBE Bank,[],"['before', 'nice', 'now', 'does', 'not', 'work', 'crash', 'automatically']",0.6197,0.6,1.0,positive,
does not working well,CBE Bank,[],"['does', 'not', 'working', 'well']",-0.2057,0.0,0.0,negative,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,
"life longe bank CBE , Save & change your life.",CBE Bank,"['life', 'longe', 'bank', 'cbe', 'save', 'life']","['life', 'longe', 'bank', 'cbe', 'save', 'change', 'your', 'life']",0.4939,0.0,0.0,positive,
keeps on saying bucket override when I try to pay henon school fee,CBE Bank,"['keeps', 'bucket', 'school', 'fee']","['keeps', 'saying', 'bucket', 'override', 'when', 'try', 'pay', 'henon', 'school', 'fee']",-0.1027,0.0,0.0,negative,
Factory reset made me to lose my pin to login to my account!,CBE Bank,"['factory', 'reset', 'pin', 'account']","['factory', 'reset', 'made', 'lose', 'pin', 'login', 'account']",-0.4574,0.0,0.0,negative,
This is app is not fast and not working well in all android phone. eg it is not functioning well using one plus phone.,CBE Bank,"['phone', 'phone']","['not', 'fast', 'not', 'working', 'well', 'all', 'android', 'phone', 'not', 'functioning', 'well', 'using', 'one', 'plus', 'phone']",-0.3875,-0.1,0.6,negative,
gooooodddd.....,CBE Bank,"['gooooodddd', '.....']",['gooooodddd'],0.0,0.0,0.0,neutral,
it's v good app sometimes there is a problem on other bank transfers,CBE Bank,"['problem', 'bank', 'transfers']","['good', 'sometimes', 'there', 'problem', 'other', 'bank', 'transfers']",0.0516,0.2875,0.48750000000000004,positive,
nice app,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
very nice app,CBE Bank,[],['nice'],0.4754,0.78,1.0,positive,
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,
it looks fantasy,CBE Bank,[],"['looks', 'fantasy']",0.0,0.0,0.0,neutral,
it is more convenient app,CBE Bank,[],"['more', 'convenient']",0.0,0.5,0.5,neutral,
nice app,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
it's best app to use recently and upgraded day to day for internationalization,CBE Bank,"['day', 'day', 'internationalization']","['best', 'use', 'recently', 'upgraded', 'day', 'day', 'for', 'internationalization']",0.6369,0.5,0.275,positive,
its good,CBE Bank,[],"['its', 'good']",0.4404,0.7,0.6000000000000001,positive,
korsa,CBE Bank,['korsa'],['korsa'],0.0,0.0,0.0,neutral,
CBE does not offer anything international.,CBE Bank,"['cbe', 'anything']","['cbe', 'does', 'not', 'offer', 'anything', 'international']",0.0,0.0,0.0,neutral,
Absolute garbage,CBE Bank,"['absolute', 'garbage']","['absolute', 'garbage']",0.0,0.2,0.9,neutral,
"im having a terrible experience with this app, im getting 'unable to connect' error, this happened for a while now and they didnt fix it, it is so unreliable in times i need it that i have to resort to using ussd code instead of it. please fix this issue",CBE Bank,"['experience', 'error', 'while', 'times', 'code', 'issue']","['having', 'terrible', 'experience', 'with', 'getting', 'unable', 'connect', 'error', 'happened', 'for', 'while', 'now', 'didnt', 'fix', 'unreliable', 'times', 'need', 'have', 'resort', 'using', 'ussd', 'code', 'instead', 'please', 'fix', 'issue']",-0.5423,-0.75,0.75,negative,
አሪፍ ነው,CBE Bank,['አሪፍ'],['አሪፍ'],0.0,0.0,0.0,neutral,
I have 1 year and thank you for yo ur genuine service,CBE Bank,"['year', 'thank', 'genuine', 'service']","['have', 'year', 'thank', 'for', 'genuine', 'service']",0.3612,0.4,0.5,positive,
it is the best application in the Ethiopia I like it this,CBE Bank,['ethiopia'],"['best', 'ethiopia', 'like']",0.7717,1.0,0.3,positive,
excellent,CBE Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive,
Excellent,CBE Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive,
ካየህዋቸው ተመሳሳይ መተግበርያዎች በጣም ጥሩ መተግበርያ ነው,CBE Bank,"['ተመሳሳይ', 'መተግበርያዎች', 'መተግበርያ']","['ካየህዋቸው', 'ተመሳሳይ', 'መተግበርያዎች', 'መተግበርያ']",0.0,0.0,0.0,neutral,
super spp,CBE Bank,"['super', 'spp']","['super', 'spp']",0.5994,0.3333333333333333,0.6666666666666666,positive,
i like cbe service,CBE Bank,"['cbe', 'service']","['like', 'cbe', 'service']",0.3612,0.0,0.0,positive,
best bank for Android application form market place and key number,CBE Bank,"['bank', 'android', 'form', 'market', 'place', 'number']","['best', 'bank', 'for', 'android', 'form', 'market', 'place', 'key', 'number']",0.6705,0.5,0.65,positive,
good job,CBE Bank,['job'],"['good', 'job']",0.4404,0.7,0.6000000000000001,positive,
"Trasaction history not sorted in time basis, besides the hilight transaction and its details which is found by clicking the highht transaction are diffrent. Generally, the tansaction history page has a critical problem",CBE Bank,"['trasaction', 'history', 'time', 'basis', 'transaction', 'details', 'transaction', 'diffrent', 'tansaction', 'history', 'page', 'problem']","['trasaction', 'history', 'not', 'sorted', 'time', 'basis', 'besides', 'hilight', 'transaction', 'its', 'details', 'which', 'found', 'clicking', 'highht', 'transaction', 'diffrent', 'generally', 'tansaction', 'history', 'page', 'has', 'critical', 'problem']",-0.6124,0.02500000000000001,0.65,negative,
Rtgs limit very small,CBE Bank,"['rtgs', 'limit']","['rtgs', 'limit', 'small']",0.0,-0.325,0.52,neutral,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
የጣት አሻራ አገልግሎት አላገኘሁም። አጠቃቀሙ ጠፍቶኝ ይሆን?,CBE Bank,"['አሻራ', 'አገልግሎት', 'አላገኘሁም።', 'አጠቃቀሙ', 'ጠፍቶኝ', 'ይሆን']","['የጣት', 'አሻራ', 'አገልግሎት', 'አላገኘሁም', 'አጠቃቀሙ', 'ጠፍቶኝ', 'ይሆን']",0.0,0.0,0.0,neutral,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
very bad experience as its very slow,CBE Bank,['experience'],"['bad', 'experience', 'its', 'slow']",-0.5849,-0.6499999999999999,0.6933333333333334,negative,
Good&fast,CBE Bank,"['good', 'fast']","['good', 'fast']",0.0,0.0,0.0,neutral,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
i luv it,CBE Bank,[],['luv'],0.0,0.0,0.0,neutral,
very nice 👌,CBE Bank,[],['nice'],0.4754,0.78,1.0,positive,
اليش يتعخر معرف والله,CBE Bank,"['يتعخر', 'معرف', 'والله']","['اليش', 'يتعخر', 'معرف', 'والله']",0.0,0.0,0.0,neutral,
good application 💯💯💯.,CBE Bank,['💯💯💯'],['good'],0.4404,0.7,0.6000000000000001,positive,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
good app,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,
it cost us a lot just by transfer and in other way not fair,CBE Bank,"['lot', 'transfer', 'way']","['cost', 'lot', 'just', 'transfer', 'other', 'way', 'not', 'fair']",-0.2411,-0.2375,0.6375,negative,
Great app,CBE Bank,['great'],['great'],0.6249,0.8,0.75,positive,
Interesting app,CBE Bank,[],['interesting'],0.4019,0.5,0.5,positive,
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,
"i didn't get feed back through message ,Why so?",CBE Bank,['message'],"['didn', 'get', 'feed', 'back', 'through', 'message', 'why']",0.0,0.0,0.0,neutral,
good and fast,CBE Bank,[],"['good', 'fast']",0.4404,0.44999999999999996,0.6000000000000001,positive,
"v, good",CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
Nice App,CBE Bank,['nice'],['nice'],0.4215,0.6,1.0,positive,
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive,
"Very secured, fast and favourable",CBE Bank,[],"['secured', 'fast', 'favourable']",0.4576,0.2,0.44999999999999996,positive,
owww cbe,CBE Bank,"['owww', 'cbe']","['owww', 'cbe']",0.0,0.0,0.0,neutral,
perfect app,CBE Bank,[],['perfect'],0.5719,1.0,1.0,positive,
this secure app of all Ethiopia mobile banking ever.,CBE Bank,"['secure', 'ethiopia', 'mobile', 'banking']","['secure', 'all', 'ethiopia', 'mobile', 'banking', 'ever']",0.34,0.4,0.6,positive,
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,
is good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
Number One App,CBE Bank,['number'],"['number', 'one']",0.0772,0.0,0.0,positive,
